Year,Quarter,Net Operating Income,"Securities and Other Gains/Losses, Net"
2008,1,18.8,0.4
2008,2,6.1,-1.3
2008,3,7.5,-4.4
2008,4,-35.0,-0.7
2009,1,-6.5,0.4
2009,2,-8.4,-4.2
2009,3,4.5,-2.4
2009,4,-1.5,-0.2
2010,1,16.3,1.1
2010,2,19.8,1.1
2010,3,21.7,2.0
2010,4,19.6,1.8
2011,1,29.0,-0.2
2011,2,28.4,0.1
2011,3,32.2,3.1
2011,4,24.1,1.2
2012,1,32.7,2.1
2012,2,32.9,1.6
2012,3,35.6,1.9
2012,4,33.4,1.0
2013,1,39.1,1.2
2013,2,37.5,0.7
2013,3,35.6,0.5
2013,4,39.6,0.1
2014,1,36.8,0.5
2014,2,39.8,0.3
2014,3,38.1,0.4
2014,4,36.0,0.5
2015,1,39.0,0.8
2015,2,42.6,0.4
2015,3,40.0,0.4
2015,4,40.1,0.5
2016,1,38.4,0.6
2016,2,42.9,0.7
2016,3,45.1,0.5
2016,4,42.8,0.3
2017,1,43.5,0.3
2017,2,47.6,0.5
2017,3,47.3,0.6
2017,4,25.5,-0.2
2018,1,55.7,0.1
2018,2,60.2,-0.1
2018,3,61.9,-0.0
2018,4,59.7,-0.3
2019,1,60.1,0.6
2019,2,61.5,1.0
2019,3,58.2,-0.8
2019,4,52.6,2.3
2020,1,17.1,1.4
2020,2,16.4,2.0
2020,3,49.3,1.8
2020,4,58.1,1.3
2021,1,75.7,1.1
2021,2,69.8,0.6
2021,3,69.3,0.2
2021,4,63.4,0.4
